,gene.shannon,group,Time,species.shannon,metaphlan2.shannon
V1-102100001,10.7475568521819,1,base,1.68760448878866,2.03046640552603
V1-102100002,12.4903865159674,1,base,2.13509940159866,3.35136562517328
V1-102100003,11.6093202565627,1,base,1.93423840209519,2.73856755177844
V1-102100004,11.719461133884,2,base,2.1252971761208,2.90007319032431
V1-102100005,11.6893208876018,2,base,2.12152955271012,2.82337007568922
V1-102100006,11.2128123636244,2,base,1.45571064285293,1.92491905739191
V1-102100007,11.2570247173966,2,base,2.1437732039407,2.20183681166131
V1-102100008,9.74377189050301,1,base,1.22999578463189,0.764363861162263
V1-102100009,10.7801867407666,2,base,1.52586043629087,1.7479573253735
V1-102100010,10.125601944727,1,base,1.53306798840953,1.42104559057882
V1-102100011,11.1620528822213,2,base,2.44312153171132,2.46377862960682
V1-102100012,10.8842451137888,2,base,1.84054382150387,2.02035683856322
V1-102100013,11.4944805975743,2,base,1.95721845511625,2.28050945542479
V1-102100014,10.8802969433679,2,base,2.08437735918969,2.30717584173432
V1-102100015,10.7653056807034,1,base,2.31877899098521,1.9355664223746
V1-102100016,10.9160174453757,1,base,2.18045626395366,2.20248836861773
V1-102100017,11.0029344787204,1,base,1.9955086361997,2.33765141902342
V1-102100018,10.8363920273159,1,base,1.65066596274227,1.72538251579683
V1-102100019,9.6702274765898,1,base,1.22260267717705,1.63549285717045
V1-102100020,11.0402244175249,2,base,2.3337569634858,2.22801230356025
V1-102100021,10.6443329687623,1,base,1.79803188685307,1.90669126325649
V1-102100022,11.1441245941249,1,base,1.7379585997355,2.39188547678889
V1-102100023,10.8014867495961,2,base,1.68665412075173,1.77894391258338
V1-102100024,11.049707786621,1,base,2.04238547223362,2.30551057907914
V1-102100025,11.8622104589305,1,base,1.55212914731472,2.9841629827803
V1-102100026,10.8028838732214,2,base,1.79933384450527,2.38112613570238
V1-102100027,11.9781285300196,2,base,2.10368565017311,2.88688644076346
V1-102100028,11.2890555267395,2,base,2.19447948342205,2.33469978568276
V1-102100029,11.5175733397852,1,base,2.13970353397878,2.66408071302219
V1-102100030,10.7004427487261,2,base,2.2576494612187,2.38309013957009
V1-102100031,12.0200184885614,1,base,2.17301279678769,2.74005145766826
V1-102100032,11.0819556458463,1,base,1.76793780884651,1.78851653608628
V1-102100033,10.5366066884884,1,base,1.49073070209737,1.37574396161922
V1-102100034,10.8700980090004,2,base,2.07841572182806,2.11091435597553
V1-102100035,10.5463483653758,1,base,1.82938892327399,1.65398229584731
V1-102100036,11.8268205717748,1,base,1.57152919941613,2.40208610454528
V1-102100037,10.6048087557438,2,base,1.43921285973355,1.7292703188437
V1-102100038,11.8869724051525,2,base,2.04382747854347,3.2092041783801
V1-102100039,11.4403663964123,2,base,2.08458020690373,2.53131599739473
V1-102100040,11.683573802984,2,base,2.27761428399439,2.86965529921504
V1-102100041,12.4921026356374,2,base,2.04920070001534,3.0342523966855
V1-102100042,11.3975965213836,1,base,2.36001659465754,2.72987075848311
V1-102100043,10.9763614797302,2,base,2.09400704252561,2.10696562316891
V1-102100044A,12.0139070831122,2,base,2.00309146187168,3.06315834164111
V1-102100045,10.9159754989372,1,base,2.20148631961593,2.23136695143257
V1-102100046,11.7309051706352,1,base,2.28339190098006,3.1999598484375
V1-102100047,11.2088864003174,1,base,2.23066692911144,2.53499831439449
V1-102100048,12.0111221235383,1,base,1.71546884325453,3.1963843187211
V1-102100049,11.6304992475141,2,base,2.31522816290247,2.90101703372318
V1-102100050,11.1197078300687,2,base,2.33799747140375,2.34353085241247
V1-102100051,10.2048244983088,1,base,1.39566124445169,1.29387876644653
V1-102100052,9.97407001285739,1,base,1.2277325198813,0.987288379759979
V1-102100053,10.7463941565666,1,base,1.53895847153768,1.8754506292552
V1-102100054,9.92653732890312,2,base,1.35980183270595,1.6619894239013
